Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate,Period of Construction,Period of Construction Percent,Period of Construction Name,Household Type,Own vs Rent,Own vs Rent Percent,Bad Dwelling,Bad Dwelling Percent,Average and Median Household Income,Commuting Method,Commuting Method Percent,LIM-AT,LICO-AT
Neighbourhood,Point Road,1870,2343.469989799013,1971,160,0.0855614973262032,"[70, 35, 45, 35, 0, 10, 0, 0, 10, 10, 10, 0]","[0.3111111111111111, 0.15555555555555556, 0.2, 0.15555555555555556, 0, 0.044444444444444446, 0, 0, 0.044444444444444446, 0.044444444444444446, 0.044444444444444446, 0]",225,0.12032085561497326,"[1790, 80]","[0.9572192513368984, 0.0427807486631016]","[145, 405, 1025]","[0.09206349206349207, 0.2571428571428571, 0.6507936507936508]",0.04,"[625, 60, 35]","[0.8333333333333334, 0.08, 0.04666666666666667]","['1960 or before', '1961 to 1980', '2006 to 2010']","[700, 60, 0]","[685, 75]","[0.9013157894736842, 0.09868421052631579]",105,0.1390728476821192,"[109123, 92831]","[725, 315]","[0.6971153846153846, 0.3028846153846154]",0.08288770053475936,0.053475935828877004
Neighbourhood,Polo Park,275,271.7039592700945,1971,25,0.09090909090909091,"[15, 65, 10, 20, 10, 0, 0, 0, 0, 0, 10, 0]","[0.11538461538461539, 0.5, 0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0, 0, 0, 0, 0, 0.07692307692307693, 0]",130,0.4727272727272727,"[150, 125]","[0.5454545454545454, 0.45454545454545453]","[15, 115, 135]","[0.05660377358490566, 0.4339622641509434, 0.5094339622641509]",0.1,"[125, 25, 10]","[0.6944444444444444, 0.1388888888888889, 0.05555555555555555]","['1961 to 1980', '1960 or before', '1981 to 1990']","[0, 180, 0]","[10, 170]","[0.05555555555555555, 0.9444444444444444]",35,0.19444444444444445,"[34741, 27899]","[50, 110]","[0.3125, 0.6875]",0.43636363636363634,0.43636363636363634
Neighbourhood,Portage-Ellice,1075,6343.26816977536,2001,120,0.11162790697674418,"[70, 110, 65, 90, 10, 0, 30, 10, 0, 0, 10, 0]","[0.17721518987341772, 0.27848101265822783, 0.16455696202531644, 0.22784810126582278, 0.02531645569620253, 0, 0.0759493670886076, 0.02531645569620253, 0, 0, 0.02531645569620253, 0]",395,0.3674418604651163,"[805, 270]","[0.7488372093023256, 0.25116279069767444]","[90, 290, 610]","[0.09090909090909091, 0.29292929292929293, 0.6161616161616161]",0.1,"[300, 155, 100]","[0.43478260869565216, 0.2246376811594203, 0.14492753623188406]","['1981 to 1990', '1961 to 1980', '1960 or before']","[10, 685, 0]","[40, 645]","[0.058394160583941604, 0.9416058394160584]",35,0.051094890510948905,"[44469, 40481]","[115, 295]","[0.2804878048780488, 0.7195121951219512]",0.24299065420560748,0.22897196261682243
Neighbourhood,Pulberry,4705,1883.5294258938259,1971,530,0.1126461211477152,"[85, 230, 175, 185, 25, 55, 35, 50, 30, 30, 30, 10]","[0.09042553191489362, 0.24468085106382978, 0.18617021276595744, 0.19680851063829788, 0.026595744680851064, 0.05851063829787234, 0.03723404255319149, 0.05319148936170213, 0.031914893617021274, 0.031914893617021274, 0.031914893617021274, 0.010638297872340425]",940,0.1997874601487779,"[4135, 570]","[0.8788522848034006, 0.12114771519659936]","[400, 1055, 2560]","[0.099626400996264, 0.2627646326276463, 0.6376089663760897]",0.08,"[1275, 325, 175]","[0.6407035175879398, 0.16331658291457288, 0.08793969849246232]","['1961 to 1980', '1960 or before', '1981 to 1990']","[1365, 620, 0]","[1430, 555]","[0.7204030226700252, 0.2795969773299748]",90,0.04534005037783375,"[91116, 77506]","[1755, 590]","[0.7484008528784648, 0.2515991471215352]",0.14027630180658873,0.12858660998937302
Neighbourhood,Radisson,3315,2735.8663411687226,1971,380,0.11463046757164405,"[195, 25, 45, 15, 0, 10, 0, 0, 0, 10, 0, 10]","[0.6290322580645161, 0.08064516129032258, 0.14516129032258066, 0.04838709677419355, 0, 0.03225806451612903, 0, 0, 0, 0.03225806451612903, 0, 0.03225806451612903]",310,0.09351432880844646,"[3240, 75]","[0.9773755656108597, 0.02262443438914027]","[585, 975, 1255]","[0.20781527531083482, 0.3463587921847247, 0.44582593250444047]",0.06,"[635, 615, 15]","[0.48846153846153845, 0.47307692307692306, 0.011538461538461539]","['1960 or before', '1961 to 1980', '1991 to 2000']","[1305, 0, 0]","[1255, 55]","[0.9580152671755725, 0.04198473282442748]",80,0.061068702290076333,"[85581, 78276]","[1340, 410]","[0.7657142857142857, 0.2342857142857143]",0.048265460030165915,0.0392156862745098
Neighbourhood,Richmond Lakes,1620,2506.0097827196705,1981,275,0.16975308641975306,"[0, 95, 105, 40, 0, 40, 0, 20, 10, 0, 0, 0]","[0, 0.3064516129032258, 0.3387096774193548, 0.12903225806451613, 0, 0.12903225806451613, 0, 0.06451612903225806, 0.03225806451612903, 0, 0, 0]",310,0.19135802469135801,"[1515, 105]","[0.9351851851851852, 0.06481481481481481]","[160, 375, 810]","[0.11895910780669144, 0.2788104089219331, 0.6022304832713755]",0.07,"[365, 170, 60]","[0.5934959349593496, 0.2764227642276423, 0.0975609756097561]","['1981 to 1990', '1961 to 1980', '1991 to 2000']","[615, 0, 0]","[575, 40]","[0.9349593495934959, 0.06504065040650407]",60,0.0975609756097561,"[94142, 91253]","[740, 170]","[0.8131868131868132, 0.1868131868131868]",0.05555555555555555,0.05555555555555555
Neighbourhood,Richmond West,8605,3228.1141923355826,1971,430,0.04997094712376525,"[220, 1255, 580, 1345, 40, 115, 160, 180, 100, 10, 25, 175]","[0.052318668252080855, 0.2984542211652794, 0.13793103448275862, 0.31985731272294887, 0.009512485136741973, 0.027348394768133173, 0.03804994054696789, 0.04280618311533888, 0.023781212841854936, 0.0023781212841854932, 0.005945303210463734, 0.041617122473246136]",4205,0.4886693782684486,"[6900, 1700]","[0.8023255813953488, 0.19767441860465115]","[910, 2100, 4170]","[0.12674094707520892, 0.2924791086350975, 0.5807799442896936]",0.07,"[945, 680, 505]","[0.33157894736842103, 0.23859649122807017, 0.17719298245614035]","['1981 to 1990', '1991 to 2000', '2001 to 2005']","[2220, 640, 0]","[2270, 580]","[0.7964912280701755, 0.20350877192982456]",80,0.028021015761821366,"[103301, 91267]","[3240, 1030]","[0.7587822014051522, 0.2412177985948478]",0.17790697674418604,0.16279069767441862
Neighbourhood,Ridgedale,715,880.9183234707443,1971,10,0.013986013986013986,"[0, 20, 10, 0, 25, 0, 0, 0, 0, 0, 0, 0]","[0, 0.36363636363636365, 0.18181818181818182, 0, 0.45454545454545453, 0, 0, 0, 0, 0, 0, 0]",55,0.07692307692307693,"[695, 15]","[0.9788732394366197, 0.02112676056338028]","[70, 165, 400]","[0.11023622047244094, 0.25984251968503935, 0.6299212598425197]",0.07,"[100, 90, 40]","[0.3389830508474576, 0.3050847457627119, 0.13559322033898305]","['1991 to 2000', '1961 to 1980', '1960 or before']","[270, 15, 0]","[275, 15]","[0.9482758620689655, 0.05172413793103448]",15,0.05172413793103448,"[385445, 131032]","[260, 50]","[0.8387096774193549, 0.16129032258064516]",0.04225352112676056,0.04225352112676056
Neighbourhood,Ridgewood South,190,62.1579472697776,1971,0,0.0,"[10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,0.05263157894736842,"[185, 0]","[1, 0]","[20, 35, 90]","[0.13793103448275862, 0.2413793103448276, 0.6206896551724138]",0.0,"[40, 15, 0]","[0.7272727272727273, 0.2727272727272727, 0]","['1961 to 1980', '1981 to 1990', '1960 or before']","[60, 0, 0]","[55, 0]","[1, 0]",0,0.0,"[0, 0]","[65, 10]","[0.8666666666666667, 0.13333333333333333]",0.0,0.0
Neighbourhood,River East,7725,2257.703811471649,1971,640,0.08284789644012945,"[90, 130, 120, 60, 10, 50, 0, 0, 0, 15, 30, 0]","[0.1782178217821782, 0.25742574257425743, 0.2376237623762376, 0.1188118811881188, 0.019801980198019802, 0.09900990099009901, 0, 0, 0, 0.0297029702970297, 0.0594059405940594, 0]",505,0.06537216828478964,"[7475, 250]","[0.9676375404530745, 0.032362459546925564]","[1025, 1940, 3720]","[0.15332834704562454, 0.29020194465220644, 0.556469708302169]",0.04,"[1985, 745, 180]","[0.6465798045602605, 0.24267100977198697, 0.05863192182410423]","['1961 to 1980', '1981 to 1990', '1960 or before']","[2825, 245, 0]","[2715, 355]","[0.8843648208469055, 0.11563517915309446]",85,0.027642276422764227,"[103790, 92114]","[3040, 770]","[0.7979002624671916, 0.20209973753280844]",0.07772020725388601,0.05375647668393782
