Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Names,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate
Neighbourhood,Munroe West,3010,2305.5947055579386,1971,385,0.12790697674418605,"['Filipino', 'Black', 'South Asian']","[150, 105, 45]","[0.38461538461538464, 0.2692307692307692, 0.11538461538461539]",390,0.12956810631229235,"[2870, 145]","[0.9519071310116086, 0.04809286898839138]","[555, 935, 1080]","[0.21595330739299612, 0.3638132295719844, 0.42023346303501946]",0.08
Neighbourhood,Mynarski,1900,5022.376006788138,1971,145,0.07631578947368421,"['Filipino', 'Southeast Asian', 'Latin American']","[1195, 80, 25]","[0.8951310861423221, 0.0599250936329588, 0.018726591760299626]",1335,0.7026315789473684,"[1465, 435]","[0.7710526315789473, 0.22894736842105262]","[275, 430, 785]","[0.18456375838926176, 0.28859060402684567, 0.5268456375838926]",0.05
Neighbourhood,Niakwa Park,710,945.1783258628747,1971,75,0.1056338028169014,"['Black', 'Filipino', 'Korean']","[15, 10, 10]","[0.2727272727272727, 0.18181818181818182, 0.18181818181818182]",55,0.07746478873239436,"[680, 25]","[0.9645390070921985, 0.03546099290780142]","[105, 220, 310]","[0.16535433070866143, 0.3464566929133858, 0.4881889763779528]",0.02
Neighbourhood,Niakwa Place,2305,1363.696332928859,1986,185,0.08026030368763556,"['South Asian', 'Latin American', 'Filipino']","[90, 50, 40]","[0.2608695652173913, 0.14492753623188406, 0.11594202898550725]",345,0.14967462039045554,"[2115, 185]","[0.9195652173913044, 0.08043478260869565]","[285, 590, 1135]","[0.1417910447761194, 0.2935323383084577, 0.5646766169154229]",0.08
Neighbourhood,Norberry,1340,2279.5163342655533,1971,185,0.13805970149253732,"['Black', 'South Asian', 'Chinese']","[100, 65, 25]","[0.45454545454545453, 0.29545454545454547, 0.11363636363636363]",220,0.16417910447761194,"[1250, 90]","[0.9328358208955224, 0.06716417910447761]","[215, 350, 600]","[0.18454935622317598, 0.30042918454935624, 0.5150214592274678]",0.08
Neighbourhood,Normand Park,1745,1673.0665055920692,1971,95,0.05444126074498567,"['Chinese', 'South Asian', 'Arab']","[125, 85, 85]","[0.36764705882352944, 0.25, 0.25]",340,0.19484240687679083,"[1680, 65]","[0.9627507163323782, 0.03724928366762178]","[240, 350, 880]","[0.16326530612244897, 0.23809523809523808, 0.5986394557823129]",0.02
Neighbourhood,North Inkster Industrial,310,112.87524190802851,2016,0,0.0,"['South Asian', 'Filipino', 'Multiple visible minorities']","[155, 90, 25]","[0.5740740740740741, 0.3333333333333333, 0.09259259259259259]",270,0.8709677419354839,"[180, 125]","[0.5901639344262295, 0.4098360655737705]","[25, 30, 145]","[0.125, 0.15, 0.725]",0.07
Neighbourhood,North Point Douglas,2025,1786.2577239107134,1971,890,0.43950617283950616,"['Filipino', 'Latin American', 'Black']","[115, 70, 55]","[0.40350877192982454, 0.24561403508771928, 0.19298245614035087]",285,0.14074074074074075,"[1940, 85]","[0.9580246913580247, 0.04197530864197531]","[525, 460, 605]","[0.330188679245283, 0.2893081761006289, 0.3805031446540881]",0.12
Neighbourhood,North River Heights,5615,3253.6408617889288,1971,160,0.028495102404274268,"['Chinese', 'South Asian', 'West Asian']","[80, 45, 35]","[0.26229508196721313, 0.14754098360655737, 0.11475409836065574]",305,0.05431878895814782,"[5485, 135]","[0.9759786476868327, 0.02402135231316726]","[365, 995, 3270]","[0.07883369330453564, 0.21490280777537796, 0.7062634989200864]",0.03
Neighbourhood,North St. Boniface,2085,1487.3171438089444,1971,465,0.22302158273381295,"['Black', 'Southeast Asian', 'Filipino']","[135, 75, 55]","[0.38028169014084506, 0.2112676056338028, 0.15492957746478872]",355,0.17026378896882494,"[1940, 145]","[0.9304556354916067, 0.06954436450839328]","[240, 445, 1030]","[0.13994169096209913, 0.2594752186588921, 0.6005830903790087]",0.04
Neighbourhood,Norwood East,4070,3128.7980879738075,1971,730,0.17936117936117935,"['Black', 'South Asian', 'Latin American']","[110, 75, 75]","[0.25287356321839083, 0.1724137931034483, 0.1724137931034483]",435,0.10687960687960688,"[3900, 170]","[0.9582309582309583, 0.04176904176904177]","[565, 1090, 1900]","[0.1589310829817159, 0.3066104078762307, 0.5344585091420534]",0.07
Neighbourhood,Norwood West,2965,2224.724985724994,1971,310,0.1045531197301855,"['Black', 'Filipino', 'South Asian']","[40, 35, 30]","[0.19047619047619047, 0.16666666666666666, 0.14285714285714285]",210,0.07082630691399663,"[2905, 65]","[0.9781144781144782, 0.021885521885521887]","[230, 675, 1600]","[0.09181636726546906, 0.2694610778443114, 0.6387225548902196]",0.07
Neighbourhood,Old Tuxedo,915,1198.0501243222507,1971,95,0.10382513661202186,"['Filipino', 'South Asian', 'Korean']","[60, 25, 25]","[0.48, 0.2, 0.2]",125,0.1366120218579235,"[875, 45]","[0.9510869565217391, 0.04891304347826087]","[80, 190, 455]","[0.1103448275862069, 0.2620689655172414, 0.6275862068965518]",0.02
Neighbourhood,Parc La Salle,2145,3464.264776421681,1971,325,0.15151515151515155,"['Black', 'South Asian', 'Filipino']","[195, 175, 20]","[0.4482758620689655, 0.40229885057471265, 0.04597701149425287]",435,0.20279720279720279,"[1940, 200]","[0.9065420560747663, 0.09345794392523364]","[270, 550, 835]","[0.16314199395770393, 0.3323262839879154, 0.5045317220543807]",0.09
Neighbourhood,Peguis,950,323.8100237267534,1971,10,0.010526315789473684,"['Filipino', 'South Asian', 'Chinese']","[145, 140, 65]","[0.30526315789473685, 0.29473684210526313, 0.1368421052631579]",475,0.5,"[755, 200]","[0.7905759162303665, 0.2094240837696335]","[85, 200, 420]","[0.12056737588652482, 0.28368794326241137, 0.5957446808510638]",0.05
Neighbourhood,Pembina Strip,3175,4444.313797949596,1971,150,0.047244094488188976,"['South Asian', 'Chinese', 'Black']","[635, 390, 230]","[0.37026239067055394, 0.22740524781341107, 0.13411078717201166]",1715,0.5401574803149606,"[1885, 1290]","[0.5937007874015748, 0.4062992125984252]","[340, 820, 1650]","[0.12099644128113879, 0.2918149466192171, 0.5871886120996441]",0.14
Neighbourhood,Point Road,1870,2343.469989799013,1971,160,0.0855614973262032,"['Filipino', 'Black', 'South Asian']","[70, 45, 35]","[0.3111111111111111, 0.2, 0.15555555555555556]",225,0.12032085561497326,"[1790, 80]","[0.9572192513368984, 0.0427807486631016]","[145, 405, 1025]","[0.09206349206349207, 0.2571428571428571, 0.6507936507936508]",0.04
Neighbourhood,Polo Park,275,271.7039592700945,1971,25,0.09090909090909091,"['South Asian', 'Chinese', 'Filipino']","[65, 20, 15]","[0.5, 0.15384615384615385, 0.11538461538461539]",130,0.4727272727272727,"[150, 125]","[0.5454545454545454, 0.45454545454545453]","[15, 115, 135]","[0.05660377358490566, 0.4339622641509434, 0.5094339622641509]",0.1
Neighbourhood,Portage-Ellice,1075,6343.26816977536,2001,120,0.11162790697674418,"['South Asian', 'Chinese', 'Filipino']","[110, 90, 70]","[0.27848101265822783, 0.22784810126582278, 0.17721518987341772]",395,0.3674418604651163,"[805, 270]","[0.7488372093023256, 0.25116279069767444]","[90, 290, 610]","[0.09090909090909091, 0.29292929292929293, 0.6161616161616161]",0.1
Neighbourhood,Pulberry,4705,1883.5294258938259,1971,530,0.1126461211477152,"['South Asian', 'Chinese', 'Black']","[230, 185, 175]","[0.24468085106382978, 0.19680851063829788, 0.18617021276595744]",940,0.1997874601487779,"[4135, 570]","[0.8788522848034006, 0.12114771519659936]","[400, 1055, 2560]","[0.099626400996264, 0.2627646326276463, 0.6376089663760897]",0.08
Neighbourhood,Radisson,3315,2735.8663411687226,1971,380,0.11463046757164405,"['Filipino', 'Black', 'South Asian']","[195, 45, 25]","[0.6290322580645161, 0.14516129032258066, 0.08064516129032258]",310,0.09351432880844646,"[3240, 75]","[0.9773755656108597, 0.02262443438914027]","[585, 975, 1255]","[0.20781527531083482, 0.3463587921847247, 0.44582593250444047]",0.06
Neighbourhood,Richmond Lakes,1620,2506.0097827196705,1981,275,0.16975308641975306,"['Black', 'South Asian', 'Chinese']","[105, 95, 40]","[0.3387096774193548, 0.3064516129032258, 0.12903225806451613]",310,0.19135802469135801,"[1515, 105]","[0.9351851851851852, 0.06481481481481481]","[160, 375, 810]","[0.11895910780669144, 0.2788104089219331, 0.6022304832713755]",0.07
Neighbourhood,Richmond West,8605,3228.1141923355826,1971,430,0.04997094712376525,"['Chinese', 'South Asian', 'Black']","[1345, 1255, 580]","[0.31985731272294887, 0.2984542211652794, 0.13793103448275862]",4205,0.4886693782684486,"[6900, 1700]","[0.8023255813953488, 0.19767441860465115]","[910, 2100, 4170]","[0.12674094707520892, 0.2924791086350975, 0.5807799442896936]",0.07
Neighbourhood,Ridgedale,715,880.9183234707443,1971,10,0.013986013986013986,"['Southeast Asian', 'South Asian', 'Black']","[25, 20, 10]","[0.45454545454545453, 0.36363636363636365, 0.18181818181818182]",55,0.07692307692307693,"[695, 15]","[0.9788732394366197, 0.02112676056338028]","[70, 165, 400]","[0.11023622047244094, 0.25984251968503935, 0.6299212598425197]",0.07
Neighbourhood,Ridgewood South,190,62.1579472697776,1971,0,0.0,"['Filipino', 'South Asian', 'Black']","[10, 0, 0]","[1, 0, 0]",10,0.05263157894736842,"[185, 0]","[1, 0]","[20, 35, 90]","[0.13793103448275862, 0.2413793103448276, 0.6206896551724138]",0.0
Neighbourhood,River East,7725,2257.703811471649,1971,640,0.08284789644012945,"['South Asian', 'Black', 'Filipino']","[130, 120, 90]","[0.25742574257425743, 0.2376237623762376, 0.1782178217821782]",505,0.06537216828478964,"[7475, 250]","[0.9676375404530745, 0.032362459546925564]","[1025, 1940, 3720]","[0.15332834704562454, 0.29020194465220644, 0.556469708302169]",0.04
Neighbourhood,River Park South,13355,3018.3028256105763,1971,1170,0.08760763758891801,"['South Asian', 'Black', 'Chinese']","[765, 685, 555]","[0.2479740680713128, 0.22204213938411668, 0.17990275526742303]",3085,0.23099962560838638,"[12350, 1010]","[0.9244011976047904, 0.07559880239520958]","[1155, 3235, 6500]","[0.10606060606060606, 0.2970615243342516, 0.5968778696051423]",0.06
Neighbourhood,River West Park,1480,1937.4948453473287,1976,140,0.0945945945945946,"['Black', 'South Asian', 'Latin American']","[35, 20, 20]","[0.2916666666666667, 0.16666666666666666, 0.16666666666666666]",120,0.08108108108108109,"[1460, 20]","[0.9864864864864865, 0.013513513513513514]","[115, 340, 735]","[0.09663865546218488, 0.2857142857142857, 0.6176470588235294]",0.01
Neighbourhood,River-Osborne,4750,5434.770172150636,1971,665,0.13999999999999999,"['Black', 'South Asian', 'Filipino']","[340, 305, 145]","[0.27983539094650206, 0.25102880658436216, 0.11934156378600823]",1215,0.2557894736842105,"[3965, 780]","[0.8356164383561644, 0.1643835616438356]","[405, 1250, 2725]","[0.09246575342465753, 0.2853881278538813, 0.6221461187214612]",0.08
Neighbourhood,Riverbend,5555,3257.061608595594,1971,560,0.10081008100810081,"['Filipino', 'South Asian', 'Multiple visible minorities']","[795, 335, 125]","[0.5063694267515924, 0.21337579617834396, 0.07961783439490445]",1570,0.2826282628262826,"[5115, 450]","[0.9191374663072777, 0.08086253369272237]","[635, 1360, 2280]","[0.14853801169590644, 0.31812865497076026, 0.5333333333333333]",0.06
Neighbourhood,Rivergrove,2330,1525.8227491658727,1971,120,0.05150214592274678,"['Filipino', 'South Asian', 'Latin American']","[270, 30, 30]","[0.72, 0.08, 0.08]",375,0.1609442060085837,"[2240, 90]","[0.9613733905579399, 0.03862660944206009]","[315, 495, 1185]","[0.15789473684210525, 0.24812030075187969, 0.5939849624060151]",0.06
Neighbourhood,Riverview,4270,1748.3727235839103,1971,275,0.06440281030444965,"['Filipino', 'Black', 'Latin American']","[145, 130, 45]","[0.31521739130434784, 0.2826086956521739, 0.09782608695652174]",460,0.10772833723653395,"[4120, 150]","[0.9648711943793911, 0.0351288056206089]","[350, 940, 2345]","[0.09628610729023383, 0.2585969738651995, 0.6451169188445667]",0.05
Neighbourhood,Robertson,4970,3633.893625624141,1971,565,0.113682092555332,"['Filipino', 'Southeast Asian', 'Multiple visible minorities']","[2235, 80, 55]","[0.9085365853658537, 0.032520325203252036, 0.022357723577235773]",2460,0.4949698189134809,"[4260, 715]","[0.8562814070351759, 0.14371859296482412]","[805, 1440, 1875]","[0.1953883495145631, 0.34951456310679613, 0.4550970873786408]",0.07
Neighbourhood,Roblin Park,945,1348.7071678433958,1971,70,0.07407407407407407,"['Black', 'Filipino', 'Visible minority not included elsewhere']","[20, 10, 10]","[0.5, 0.25, 0.25]",40,0.042328042328042326,"[905, 45]","[0.9526315789473684, 0.04736842105263158]","[90, 225, 480]","[0.11320754716981132, 0.2830188679245283, 0.6037735849056604]",0.03
Neighbourhood,Rockwood,4245,4380.244426925759,1971,360,0.08480565371024734,"['South Asian', 'Filipino', 'Chinese']","[250, 240, 155]","[0.26881720430107525, 0.25806451612903225, 0.16666666666666666]",930,0.21908127208480566,"[3610, 635]","[0.850412249705536, 0.14958775029446408]","[485, 1055, 2115]","[0.1326949384404925, 0.28864569083447333, 0.5786593707250342]",0.08
Neighbourhood,Roslyn,4550,14491.045807628978,1971,235,0.05164835164835165,"['South Asian', 'Black', 'Chinese']","[135, 90, 90]","[0.23076923076923078, 0.15384615384615385, 0.15384615384615385]",585,0.12857142857142856,"[4200, 355]","[0.9220636663007684, 0.07793633369923161]","[270, 970, 3160]","[0.06136363636363636, 0.22045454545454546, 0.7181818181818181]",0.06
Neighbourhood,Rosser-Old Kildonan,680,42.51171729207863,1971,50,0.07352941176470588,"['Filipino', 'South Asian', 'Latin American']","[305, 110, 15]","[0.6931818181818182, 0.25, 0.03409090909090909]",440,0.6470588235294118,"[525, 150]","[0.7777777777777778, 0.2222222222222222]","[45, 140, 380]","[0.07964601769911504, 0.24778761061946902, 0.672566371681416]",0.11
Neighbourhood,Rossmere-A,13330,3348.147567657447,1971,1875,0.14066016504126033,"['Filipino', 'Black', 'South Asian']","[450, 430, 375]","[0.23376623376623376, 0.22337662337662337, 0.19480519480519481]",1925,0.1444111027756939,"[12345, 980]","[0.9264540337711069, 0.07354596622889306]","[2525, 3425, 5140]","[0.22768259693417492, 0.30883678990081154, 0.46348061316501354]",0.06
Neighbourhood,Rossmere-B,4185,3393.3294521536495,1971,395,0.09438470728793309,"['Filipino', 'Latin American', 'Black']","[230, 120, 65]","[0.4144144144144144, 0.21621621621621623, 0.11711711711711711]",555,0.13261648745519714,"[3950, 230]","[0.9449760765550239, 0.05502392344497608]","[530, 1225, 1805]","[0.14887640449438203, 0.3441011235955056, 0.5070224719101124]",0.06
Neighbourhood,Royalwood,4955,1721.622501519232,1986,300,0.06054490413723512,"['Chinese', 'South Asian', 'Southeast Asian']","[410, 300, 175]","[0.3106060606060606, 0.22727272727272727, 0.13257575757575757]",1320,0.26639757820383453,"[4790, 165]","[0.9667003027245207, 0.033299697275479316]","[450, 985, 2435]","[0.11627906976744186, 0.25452196382428943, 0.6291989664082688]",0.03
Neighbourhood,Sage Creek,4790,1171.737878078105,2011,435,0.09081419624217119,"['Chinese', 'South Asian', 'Filipino']","[355, 345, 170]","[0.2581818181818182, 0.2509090909090909, 0.12363636363636364]",1375,0.2870563674321503,"[4370, 420]","[0.9123173277661796, 0.08768267223382047]","[320, 845, 2375]","[0.0903954802259887, 0.2387005649717514, 0.6709039548022598]",0.03
Neighbourhood,Sargent Park,6180,2976.8628393587514,1971,610,0.09870550161812297,"['Filipino', 'Black', 'Latin American']","[2710, 110, 80]","[0.8603174603174604, 0.03492063492063492, 0.025396825396825397]",3150,0.5097087378640777,"[5210, 970]","[0.843042071197411, 0.156957928802589]","[940, 1615, 2640]","[0.1809432146294514, 0.3108758421559192, 0.5081809432146295]",0.06
Neighbourhood,Seven Oaks,3000,2446.225840462043,1971,410,0.13666666666666666,"['Filipino', 'South Asian', 'Black']","[275, 50, 50]","[0.5978260869565217, 0.10869565217391304, 0.10869565217391304]",460,0.15333333333333332,"[2800, 195]","[0.9348914858096828, 0.0651085141903172]","[365, 845, 1305]","[0.14512922465208747, 0.3359840954274354, 0.5188866799204771]",0.06
Neighbourhood,Shaughnessy Park,2745,3401.6345194649084,1971,310,0.11293260473588343,"['Filipino', 'Black', 'Chinese']","[1480, 50, 50]","[0.8783382789317508, 0.02967359050445104, 0.02967359050445104]",1685,0.6138433515482696,"[2200, 545]","[0.8014571948998178, 0.19854280510018216]","[520, 665, 1075]","[0.23008849557522124, 0.2942477876106195, 0.4756637168141593]",0.06
Neighbourhood,Silver Heights,5140,3098.6367204125404,1971,500,0.09727626459143968,"['Filipino', 'Black', 'Chinese']","[375, 125, 95]","[0.45454545454545453, 0.15151515151515152, 0.11515151515151516]",825,0.1605058365758755,"[4850, 290]","[0.943579766536965, 0.05642023346303502]","[645, 1455, 2310]","[0.14625850340136054, 0.3299319727891156, 0.5238095238095238]",0.05
Neighbourhood,Sir John Franklin,2425,2228.6329243983378,1971,220,0.09072164948453608,"['Latin American', 'Filipino', 'Southeast Asian']","[70, 40, 30]","[0.3111111111111111, 0.17777777777777778, 0.13333333333333333]",225,0.09278350515463918,"[2320, 105]","[0.9567010309278351, 0.04329896907216495]","[195, 405, 1470]","[0.09420289855072464, 0.1956521739130435, 0.7101449275362319]",0.05
Neighbourhood,South Point Douglas,390,562.5968315700491,1971,205,0.5256410256410257,"['Black', 'Southeast Asian', 'Filipino']","[25, 10, 0]","[0.7142857142857143, 0.2857142857142857, 0]",35,0.08974358974358974,"[355, 40]","[0.8987341772151899, 0.10126582278481013]","[90, 80, 115]","[0.3157894736842105, 0.2807017543859649, 0.40350877192982454]",0.13
Neighbourhood,South Pointe,4795,2194.3513415060524,2011,135,0.02815432742440042,"['South Asian', 'Chinese', 'Filipino']","[1150, 700, 345]","[0.35222052067381315, 0.21439509954058192, 0.10566615620214395]",3265,0.6809176225234619,"[3595, 1200]","[0.7497393117831074, 0.2502606882168926]","[445, 940, 2260]","[0.12208504801097393, 0.2578875171467764, 0.6200274348422496]",0.07
Neighbourhood,South Portage,1865,2823.238049679907,1981,165,0.08847184986595175,"['Black', 'South Asian', 'Filipino']","[260, 145, 140]","[0.31137724550898205, 0.17365269461077845, 0.16766467065868262]",835,0.4477211796246649,"[1210, 655]","[0.6487935656836461, 0.3512064343163539]","[195, 400, 1125]","[0.11337209302325581, 0.23255813953488372, 0.6540697674418605]",0.1
Neighbourhood,South River Heights,2665,2373.9216026865847,1971,135,0.05065666041275797,"['Filipino', 'Chinese', 'Multiple visible minorities']","[115, 80, 65]","[0.2911392405063291, 0.20253164556962025, 0.16455696202531644]",395,0.14821763602251406,"[2480, 185]","[0.9305816135084428, 0.06941838649155722]","[180, 590, 1480]","[0.08, 0.26222222222222225, 0.6577777777777778]",0.03
Neighbourhood,South Tuxedo,3440,1642.5504606781058,1971,85,0.024709302325581398,"['South Asian', 'Chinese', 'Filipino']","[125, 85, 70]","[0.26881720430107525, 0.1827956989247312, 0.15053763440860216]",465,0.13517441860465115,"[3295, 145]","[0.9578488372093024, 0.04215116279069767]","[245, 675, 2145]","[0.0799347471451876, 0.22022838499184338, 0.6998368678629691]",0.06
Neighbourhood,Southboine,1360,1944.3376170712845,1971,190,0.13970588235294118,"['South Asian', 'Multiple visible minorities', 'Filipino']","[25, 15, 10]","[0.25, 0.15, 0.1]",100,0.07352941176470588,"[1320, 40]","[0.9705882352941176, 0.029411764705882353]","[190, 365, 645]","[0.15833333333333333, 0.30416666666666664, 0.5375]",0.01
Neighbourhood,Southdale,6450,2123.1073074391047,1971,480,0.07441860465116279,"['South Asian', 'Filipino', 'Black']","[235, 225, 170]","[0.24479166666666666, 0.234375, 0.17708333333333334]",960,0.14883720930232558,"[6065, 385]","[0.9403100775193799, 0.059689922480620154]","[660, 1600, 3220]","[0.12043795620437957, 0.291970802919708, 0.5875912408759124]",0.05
Neighbourhood,Southland Park,1210,441.14119216037415,1986,65,0.05371900826446281,"['Black', 'Filipino', 'Chinese']","[80, 30, 30]","[0.38095238095238093, 0.14285714285714285, 0.14285714285714285]",210,0.17355371900826447,"[1170, 40]","[0.9669421487603306, 0.03305785123966942]","[80, 325, 575]","[0.08163265306122448, 0.33163265306122447, 0.5867346938775511]",0.09
Neighbourhood,Spence,4415,9125.954711287039,1971,1210,0.2740656851642129,"['Black', 'Filipino', 'Chinese']","[730, 705, 185]","[0.33874709976798145, 0.3271461716937355, 0.08584686774941995]",2155,0.4881087202718007,"[3430, 990]","[0.7760180995475113, 0.2239819004524887]","[1260, 1020, 1295]","[0.35244755244755244, 0.2853146853146853, 0.3622377622377622]",0.12
Neighbourhood,Springfield North,5820,2327.8454310633774,1971,605,0.10395189003436427,"['South Asian', 'Black', 'Filipino']","[165, 130, 105]","[0.2727272727272727, 0.21487603305785125, 0.17355371900826447]",605,0.10395189003436427,"[5580, 240]","[0.9587628865979382, 0.041237113402061855]","[585, 1520, 2710]","[0.12149532710280374, 0.31568016614745587, 0.5628245067497404]",0.07
Neighbourhood,Springfield South,1495,2319.2929491942978,1971,130,0.08695652173913043,"['South Asian', 'Filipino', 'Black']","[110, 75, 70]","[0.4074074074074074, 0.2777777777777778, 0.25925925925925924]",270,0.1806020066889632,"[1360, 135]","[0.9096989966555183, 0.0903010033444816]","[255, 375, 585]","[0.20987654320987653, 0.30864197530864196, 0.48148148148148145]",0.05
Neighbourhood,St. Boniface Industrial Park,1520,274.1261687333135,2016,220,0.14473684210526316,"['South Asian', 'Filipino', 'Black']","[155, 105, 55]","[0.36470588235294116, 0.24705882352941178, 0.12941176470588237]",425,0.27960526315789475,"[1305, 215]","[0.8585526315789473, 0.14144736842105263]","[135, 350, 660]","[0.11790393013100436, 0.3056768558951965, 0.5764192139737991]",0.03
Neighbourhood,St. George,2760,2807.300201088134,1971,385,0.13949275362318841,"['Filipino', 'Black', 'Arab']","[140, 115, 45]","[0.32558139534883723, 0.26744186046511625, 0.10465116279069768]",430,0.15579710144927536,"[2425, 340]","[0.8770343580470162, 0.12296564195298372]","[335, 695, 1315]","[0.14285714285714285, 0.29637526652452023, 0.5607675906183369]",0.08
Neighbourhood,St. John's Park,530,1318.037467080149,1971,150,0.2830188679245283,"['Black', 'Southeast Asian', 'Filipino']","[45, 10, 0]","[0.8181818181818182, 0.18181818181818182, 0]",55,0.10377358490566038,"[515, 10]","[0.9809523809523809, 0.01904761904761905]","[90, 140, 180]","[0.21951219512195122, 0.34146341463414637, 0.43902439024390244]",0.11
Neighbourhood,St. John's,8330,5377.690782134447,1971,2895,0.34753901560624256,"['Filipino', 'Southeast Asian', 'Black']","[1455, 195, 140]","[0.6217948717948718, 0.08333333333333333, 0.05982905982905983]",2340,0.2809123649459784,"[7475, 850]","[0.8978978978978979, 0.1021021021021021]","[2100, 1955, 2475]","[0.3215926493108729, 0.2993874425727412, 0.3790199081163859]",0.1
Neighbourhood,St. Matthews,5770,6774.256416758829,1971,1110,0.19237435008665515,"['Filipino', 'Black', 'Southeast Asian']","[1465, 530, 300]","[0.5034364261168385, 0.18213058419243985, 0.10309278350515463]",2910,0.5043327556325823,"[4770, 1000]","[0.8266897746967071, 0.1733102253032929]","[1170, 1285, 2160]","[0.2535211267605634, 0.27843986998916576, 0.46803900325027087]",0.08
Neighbourhood,St. Norbert,1765,975.5180885372479,1971,165,0.09348441926345609,"['Arab', 'Black', 'South Asian']","[105, 80, 60]","[0.3559322033898305, 0.2711864406779661, 0.2033898305084746]",295,0.1671388101983003,"[1615, 150]","[0.9150141643059491, 0.08498583569405099]","[210, 455, 860]","[0.1377049180327869, 0.2983606557377049, 0.5639344262295082]",0.06
Neighbourhood,St. Vital Perimeter South,1820,49.39891428243395,1971,140,0.07692307692307693,"['South Asian', 'Multiple visible minorities', 'Black']","[80, 30, 25]","[0.47058823529411764, 0.17647058823529413, 0.14705882352941177]",170,0.09340659340659341,"[1800, 20]","[0.989010989010989, 0.01098901098901099]","[180, 505, 805]","[0.12080536912751678, 0.3389261744966443, 0.540268456375839]",0.05
Neighbourhood,Stock Yards,710,429.84583064679686,2006,70,0.09859154929577464,"['Southeast Asian', 'Filipino', 'South Asian']","[90, 70, 35]","[0.32142857142857145, 0.25, 0.125]",280,0.39436619718309857,"[660, 55]","[0.9230769230769231, 0.07692307692307693]","[125, 160, 275]","[0.22321428571428573, 0.2857142857142857, 0.49107142857142855]",0.05
Neighbourhood,Sturgeon Creek,2955,2637.844091363136,1971,450,0.15228426395939088,"['Filipino', 'Black', 'Chinese']","[110, 75, 25]","[0.4230769230769231, 0.28846153846153844, 0.09615384615384616]",260,0.08798646362098139,"[2845, 110]","[0.9627749576988156, 0.03722504230118443]","[420, 735, 1335]","[0.1686746987951807, 0.29518072289156627, 0.536144578313253]",0.04
Neighbourhood,Talbot-Grey,2325,3874.2186992289885,1971,410,0.17634408602150536,"['Filipino', 'Black', 'Latin American']","[315, 130, 110]","[0.5121951219512195, 0.21138211382113822, 0.17886178861788618]",615,0.2645161290322581,"[2125, 200]","[0.9139784946236559, 0.08602150537634409]","[405, 735, 790]","[0.20984455958549222, 0.38082901554404147, 0.40932642487046633]",0.06
Neighbourhood,Templeton-Sinclair,6010,3578.0220146585784,1971,500,0.0831946755407654,"['Filipino', 'South Asian', 'Black']","[1310, 445, 100]","[0.6267942583732058, 0.21291866028708134, 0.04784688995215311]",2090,0.34775374376039936,"[5570, 440]","[0.9267886855241264, 0.07321131447587355]","[890, 1560, 2550]","[0.178, 0.312, 0.51]",0.05
Neighbourhood,The Maples,14630,4981.527827434155,1971,1635,0.11175666438824335,"['Filipino', 'South Asian', 'Black']","[4810, 2970, 315]","[0.5475241889584519, 0.33807626636311894, 0.035856573705179286]",8785,0.6004784688995215,"[10250, 4385]","[0.700375811411001, 0.299624188588999]","[2500, 3435, 5680]","[0.2152389151958674, 0.29573826947912185, 0.48902281532501074]",0.07
Neighbourhood,Transcona South,645,113.1091189097754,1971,65,0.10077519379844961,"['Multiple visible minorities', 'Filipino', 'South Asian']","[10, 0, 0]","[1, 0, 0]",10,0.015503875968992248,"[635, 15]","[0.9769230769230769, 0.023076923076923078]","[75, 180, 285]","[0.1388888888888889, 0.3333333333333333, 0.5277777777777778]",0.08
Neighbourhood,Tuxedo Industrial,545,82.1946483893921,2016,20,0.03669724770642202,"['South Asian', 'Arab', 'Filipino']","[40, 35, 30]","[0.18604651162790697, 0.16279069767441862, 0.13953488372093023]",215,0.3944954128440367,"[380, 165]","[0.6972477064220184, 0.30275229357798167]","[40, 130, 285]","[0.08791208791208792, 0.2857142857142857, 0.6263736263736264]",0.06
Neighbourhood,Tuxedo,2245,952.7661411103948,1971,80,0.035634743875278395,"['South Asian', 'Chinese', 'Filipino']","[50, 50, 35]","[0.25, 0.25, 0.175]",200,0.08908685968819599,"[2205, 40]","[0.9821826280623608, 0.017817371937639197]","[150, 350, 1395]","[0.079155672823219, 0.18469656992084432, 0.7361477572559367]",0.07
Neighbourhood,Tyndall Park,12560,4164.138676427196,1971,1195,0.09514331210191082,"['Filipino', 'South Asian', 'Multiple visible minorities']","[5105, 1650, 295]","[0.6421383647798742, 0.20754716981132076, 0.03710691823899371]",7950,0.6329617834394905,"[10500, 2060]","[0.8359872611464968, 0.16401273885350318]","[2095, 3285, 4915]","[0.20349684312773192, 0.3190869354055367, 0.4774162214667314]",0.06
Neighbourhood,Valhalla,2855,4237.269269186073,1971,185,0.06479859894921192,"['Black', 'Filipino', 'Multiple visible minorities']","[80, 50, 15]","[0.5161290322580645, 0.3225806451612903, 0.0967741935483871]",155,0.0542907180385289,"[2790, 60]","[0.9789473684210527, 0.021052631578947368]","[670, 930, 1140]","[0.24452554744525548, 0.33941605839416056, 0.41605839416058393]",0.06
