Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Names,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate
Neighbourhood,Exchange District,630,1972.4606916762157,1986,60,0.09523809523809523,"['Filipino', 'South Asian', 'Black']","[35, 10, 10]","[0.4117647058823529, 0.11764705882352941, 0.11764705882352941]",85,0.1349206349206349,"[600, 30]","[0.9523809523809523, 0.047619047619047616]","[20, 125, 475]","[0.03225806451612903, 0.20161290322580644, 0.7661290322580645]",0.03
Neighbourhood,Fairfield Park,2885,2844.1831279310613,2006,100,0.03466204506065858,"['Chinese', 'South Asian', 'Black']","[960, 575, 170]","[0.4752475247524752, 0.28465346534653463, 0.08415841584158416]",2020,0.7001733102253033,"[1745, 1135]","[0.6059027777777778, 0.3940972222222222]","[240, 820, 1375]","[0.09856262833675565, 0.33675564681724846, 0.5646817248459959]",0.08
Neighbourhood,Fort Richmond,11770,2557.3497079037315,1971,690,0.058623619371282916,"['Chinese', 'South Asian', 'Black']","[1615, 1415, 955]","[0.30074487895716945, 0.2635009310986965, 0.17783985102420857]",5370,0.4562446898895497,"[8330, 3445]","[0.7074309978768577, 0.29256900212314224]","[1000, 3060, 5900]","[0.10040160642570281, 0.3072289156626506, 0.5923694779116466]",0.09
Neighbourhood,Garden City,6255,2700.247878870032,1971,550,0.08792965627498,"['Filipino', 'Southeast Asian', 'South Asian']","[1505, 145, 130]","[0.7132701421800948, 0.06872037914691943, 0.061611374407582936]",2110,0.33733013589128696,"[5425, 835]","[0.8666134185303515, 0.13338658146964857]","[910, 1660, 2705]","[0.17251184834123223, 0.31469194312796206, 0.5127962085308057]",0.05
Neighbourhood,Glendale,1040,833.5423868325951,1971,140,0.13461538461538464,"['Black', 'Chinese', 'Latin American']","[40, 15, 10]","[0.5333333333333333, 0.2, 0.13333333333333333]",75,0.07211538461538461,"[995, 45]","[0.9567307692307693, 0.04326923076923077]","[145, 380, 395]","[0.15760869565217392, 0.41304347826086957, 0.42934782608695654]",0.04
Neighbourhood,Glenelm,2155,2565.961890405446,1971,345,0.16009280742459397,"['Filipino', 'Black', 'Latin American']","[60, 45, 40]","[0.2926829268292683, 0.21951219512195122, 0.1951219512195122]",205,0.0951276102088167,"[2090, 70]","[0.9675925925925926, 0.032407407407407406]","[265, 525, 905]","[0.15634218289085547, 0.30973451327433627, 0.5339233038348082]",0.07
Neighbourhood,Glenwood,3880,2383.210405538876,1971,580,0.14948453608247422,"['Black', 'Filipino', 'Southeast Asian']","[135, 100, 70]","[0.32142857142857145, 0.23809523809523808, 0.16666666666666666]",420,0.10824742268041238,"[3685, 195]","[0.9497422680412371, 0.05025773195876289]","[460, 965, 1855]","[0.1402439024390244, 0.2942073170731707, 0.5655487804878049]",0.06
Neighbourhood,Grant Park,2725,1989.072873060654,1971,235,0.08623853211009175,"['Filipino', 'South Asian', 'Chinese']","[425, 160, 95]","[0.4166666666666667, 0.1568627450980392, 0.09313725490196079]",1020,0.3743119266055046,"[1995, 730]","[0.7321100917431193, 0.26788990825688075]","[335, 720, 1335]","[0.1401673640167364, 0.301255230125523, 0.5585774058577406]",0.08
Neighbourhood,Grassie,5120,2060.7768162608168,1971,470,0.091796875,"['South Asian', 'Filipino', 'Black']","[800, 300, 200]","[0.4878048780487805, 0.18292682926829268, 0.12195121951219512]",1640,0.3203125,"[4670, 455]","[0.911219512195122, 0.08878048780487804]","[730, 1335, 1955]","[0.18159203980099503, 0.332089552238806, 0.486318407960199]",0.08
Neighbourhood,Heritage Park,5535,3314.796027754455,1971,680,0.12285456187895212,"['Filipino', 'Black', 'South Asian']","[145, 145, 80]","[0.27358490566037735, 0.27358490566037735, 0.1509433962264151]",530,0.0957542908762421,"[5225, 305]","[0.9448462929475587, 0.05515370705244123]","[765, 1525, 2420]","[0.1624203821656051, 0.3237791932059448, 0.5138004246284501]",0.07
Neighbourhood,Holden,180,1827.6709380013401,1971,75,0.4166666666666667,"['Filipino', 'South Asian', 'Black']","[15, 0, 0]","[1, 0, 0]",15,0.08333333333333333,"[175, 10]","[0.9459459459459459, 0.05405405405405406]","[55, 50, 50]","[0.3548387096774194, 0.3225806451612903, 0.3225806451612903]",0.0
Neighbourhood,Inkster Gardens,4275,3115.226205501453,1971,290,0.06783625730994153,"['Filipino', 'South Asian', 'Multiple visible minorities']","[1870, 695, 95]","[0.6504347826086957, 0.2417391304347826, 0.03304347826086956]",2875,0.672514619883041,"[3220, 1055]","[0.7532163742690059, 0.24678362573099416]","[560, 1150, 1690]","[0.16470588235294117, 0.3382352941176471, 0.4970588235294118]",0.08
