Boundary Type,Boundary Name,Population 2006,Land Area Km,Population Density 2006
Neighbourhood,Southland Park,1235,2.745775,449.7819377
Neighbourhood,South Point Douglas,230,0.681727,337.3784521
Neighbourhood,Fairfield Park,295,1.014351,290.826351
Neighbourhood,Dufferin Industrial,125,0.441987,282.8137479
Neighbourhood,Polo Park,285,1.012132,281.583825
Neighbourhood,Logan-C.P.R.,300,1.065513,281.5545188
Neighbourhood,Stock Yards,415,1.651741,251.2500446
Neighbourhood,Cloutier Drive,205,0.821145,249.6514014
Neighbourhood,Kil-Cona Park,360,2.872593,125.3223133
Neighbourhood,Transcona South,720,5.939637,121.2195291
Neighbourhood,Peguis,320,2.929879,109.2195275
Neighbourhood,Ridgewood South,170,3.056645,55.61653381
Neighbourhood,St. Vital Perimeter South,1680,36.843011,45.59887898
Neighbourhood,Mission Industrial,150,3.836947,39.09358143
Neighbourhood,Wilkes South,595,23.382227,25.44667794
Neighbourhood,Airport,205,10.346839,19.81281433
Neighbourhood,Rosser-Old Kildonan,220,16.237213,13.54912324
