Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate,Period of Construction,Period of Construction Percent,Period of Construction Name,Household Type,Own vs Rent,Own vs Rent Percent,Bad Dwelling,Bad Dwelling Percent,Average and Median Household Income,Commuting Method,Commuting Method Percent,LIM-AT,LICO-AT
Neighbourhood,Dufferin Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,West Kildonan Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Maple Grove Park,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Regent,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Transcona Yards,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Saskatchewan North,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Tyne-Tees,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Murray Industrial Park,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Omand's Creek Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,St. James Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
