"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-01","2021","01","01","","-4.4","","-11.4","","-7.9","","25.9","","0.0","","","","","","0.0","","2","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-02","2021","01","02","","-1.2","","-8.0","","-4.6","","22.6","","0.0","","","","","","0.0","","2","","18","","52",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-03","2021","01","03","","3.0","","-8.5","","-2.8","","20.8","","0.0","","","","","","0.0","","4","","18","","42",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-04","2021","01","04","","3.4","","-13.2","","-4.9","","22.9","","0.0","","","","","","0.0","","4","","30","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-05","2021","01","05","","-2.3","","-15.3","","-8.8","","26.8","","0.0","","","","","","0.0","","4","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-06","2021","01","06","","-2.1","","-6.3","","-4.2","","22.2","","0.0","","","","","","0.0","","4","","18","","35",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-07","2021","01","07","","-1.3","","-5.1","","-3.2","","21.2","","0.0","","","","","","0.0","","4","","18","","39",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-08","2021","01","08","","-0.7","","-5.9","","-3.3","","21.3","","0.0","","","","","","0.0","","4","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-09","2021","01","09","","-2.9","","-10.1","","-6.5","","24.5","","0.0","","","","","","0.0","","4","","","","",""
"-97.25","49.92","WINNIPEG A CS","502S001","2021-01-10","2021","01","10","","-1.5","","-10.9","","-6.2","","24.2","","0.0","","","","","","0.0","","3","","21","","36",""
